지역,측정소명,측정일시,SO2,CO,O3,NO2,PM10
서울,강북구,2014100109,0.004,0.2,0.013,0.015,11
서울,강서구,2014100109,0.005,0.4,0.006,0.026,14
서울,관악구,2014100109,0.003,0.4,0.006,0.029,12
서울,광진구,2014100109,0.003,0.4,0.008,0.018,16
서울,구로구,2014100109,0.004,0.4,0.005,0.027,13
서울,금천구,2014100109,0.004,0.3,0.006,0.021,13
서울,노원구,2014100109,0.004,0.2,0.015,0.018,13
서울,도봉구,2014100109,0.003,0.3,0.013,0.018,9
서울,동대문구,2014100109,0.002,0.3,0.004,0.03,14
서울,동작구,2014100109,0.007,0.2,0.01,0.023,14
서울,마포구,2014100109,0.003,0.4,0.008,0.027,16
서울,서대문구,2014100109,0.004,0.5,0.012,0.029,12
서울,서초구,2014100109,0.003,0.4,0.005,0.024,13
서울,성동구,2014100109,-999,0.2,0.011,0.019,13
서울,성북구,2014100109,0.002,0.3,0.007,0.021,10
서울,송파구,2014100109,0.003,0.4,0.008,0.023,15
서울,양천구,2014100109,0.005,0.3,0.005,0.029,13
서울,영등포구,2014100109,0.004,0.5,0.007,0.021,10
서울,용산구,2014100109,0.005,0.3,0.007,0.025,12
서울,은평구,2014100109,0.003,0.5,0.01,0.026,14
서울,종로구,2014100109,0.005,0.2,0.008,0.022,13
서울,중구,2014100109,0.003,0.2,0.008,0.027,13
서울,중랑구,2014100109,0.005,0.4,0.013,0.019,10
서울,강남구,2014100110,0.004,0.3,0.005,0.029,18
서울,강동구,2014100110,0.002,0.3,0.009,0.019,24
서울,강북구,2014100110,0.004,0.2,0.012,0.015,11
서울,강서구,2014100110,0.005,0.5,0.006,0.027,17
서울,관악구,2014100110,0.003,0.4,0.008,0.026,18
서울,광진구,2014100110,0.004,0.4,0.01,0.019,15
서울,구로구,2014100110,0.004,0.4,0.009,0.023,21
서울,금천구,2014100110,0.005,0.3,0.011,0.017,13
서울,노원구,2014100110,0.004,0.2,0.018,0.015,9
서울,도봉구,2014100110,0.003,0.3,0.015,0.017,10
서울,동대문구,2014100110,0.002,0.3,0.008,0.024,17
서울,동작구,2014100110,0.006,0.3,0.01,0.023,16
서울,마포구,2014100110,0.003,0.4,0.01,0.026,23
서울,서대문구,2014100110,0.004,0.5,0.01,0.033,11
서울,서초구,2014100110,0.003,0.3,0.011,0.019,20
서울,성동구,2014100110,-999,0.3,0.008,0.025,15
서울,성북구,2014100110,0.002,0.3,0.008,0.019,17
서울,송파구,2014100110,0.003,0.3,0.013,0.018,14
서울,양천구,2014100110,0.005,0.3,0.007,0.029,16
서울,영등포구,2014100110,0.004,0.4,0.008,0.022,16
서울,용산구,2014100110,0.005,0.3,0.009,0.023,16
서울,은평구,2014100110,0.003,0.5,0.009,0.028,15
서울,종로구,2014100110,0.005,0.2,0.009,0.023,12
서울,중구,2014100110,0.003,0.3,0.008,0.021,15
서울,중랑구,2014100110,0.004,0.3,0.016,0.017,16
서울,강남구,2014100111,0.004,0.3,0.011,0.024,22
서울,강동구,2014100111,0.003,0.3,0.019,0.009,21
서울,강북구,2014100111,0.004,0.2,0.014,0.016,14
서울,강서구,2014100111,0.006,0.4,0.011,0.025,17
서울,관악구,2014100111,0.003,0.4,0.009,0.027,20
서울,광진구,2014100111,0.004,0.5,0.014,0.017,22
서울,구로구,2014100111,0.004,0.4,0.011,0.022,22
서울,금천구,2014100111,0.005,0.3,0.019,0.014,21
서울,노원구,2014100111,0.005,0.2,0.02,0.013,16
서울,도봉구,2014100111,0.003,0.4,0.016,0.016,14
서울,동대문구,2014100111,-999,-999,-999,-999,16
서울,동작구,2014100111,0.006,0.3,0.013,0.021,20
서울,마포구,2014100111,0.004,0.4,0.013,0.026,21
서울,서대문구,2014100111,0.004,0.5,0.011,0.036,18
서울,서초구,2014100111,0.004,0.4,0.013,0.017,19
서울,성동구,2014100111,-999,0.3,0.01,0.027,22
서울,성북구,2014100111,0.002,0.2,0.012,0.015,17
서울,송파구,2014100111,0.003,0.3,0.019,0.015,16
서울,양천구,2014100111,0.005,0.3,0.011,0.026,19
서울,영등포구,2014100111,0.005,0.3,0.013,0.02,21
서울,용산구,2014100111,0.005,0.3,0.013,0.023,21
서울,은평구,2014100111,0.003,0.5,0.009,0.029,22
서울,종로구,2014100111,-999,0.2,-999,-999,-999
서울,중구,2014100111,0.004,0.3,0.009,0.012,19
서울,중랑구,2014100111,0.004,0.3,0.017,0.018,15
서울,강남구,2014100112,0.004,0.3,0.015,0.023,22
서울,강동구,2014100112,0.002,0.3,0.019,0.012,16
서울,강북구,2014100112,0.004,0.2,0.016,0.017,21
서울,강서구,2014100112,0.005,0.5,0.013,0.026,29
서울,관악구,2014100112,0.003,0.4,0.013,0.025,31
서울,광진구,2014100112,0.004,0.4,0.019,0.018,25
서울,구로구,2014100112,0.004,0.4,0.014,0.022,26
서울,금천구,2014100112,0.005,0.3,0.021,0.015,23
서울,노원구,2014100112,0.005,0.2,0.022,0.013,22
서울,도봉구,2014100112,0.003,0.3,0.017,0.017,19
서울,동대문구,2014100112,-999,-999,-999,-999,24
서울,동작구,2014100112,-999,-999,-999,-999,26
서울,마포구,2014100112,0.004,0.4,0.015,0.025,28
서울,서대문구,2014100112,0.004,0.6,0.014,0.039,24
서울,서초구,2014100112,0.004,0.3,0.015,0.019,27
서울,성동구,2014100112,-999,0.3,0.013,0.026,32
서울,성북구,2014100112,0.002,0.3,0.014,0.019,25
서울,송파구,2014100112,0.003,0.4,0.021,0.017,23
서울,양천구,2014100112,0.005,0.3,0.013,0.026,27
서울,영등포구,2014100112,0.005,0.3,0.013,0.022,28
서울,용산구,2014100112,0.005,0.3,0.016,0.021,26
서울,은평구,2014100112,0.003,0.6,0.012,0.031,18
서울,종로구,2014100112,-999,-999,-999,-999,-999
서울,중구,2014100112,0.004,0.4,0.011,-999,30
서울,중랑구,2014100112,0.004,0.3,0.021,0.018,24
서울,강남구,2014100113,0.005,0.3,0.025,0.02,29
서울,강동구,2014100113,-999,-999,-999,-999,32
서울,강북구,2014100113,0.004,0.2,0.022,0.017,23
서울,강서구,2014100113,0.006,0.5,0.021,0.024,30
서울,관악구,2014100113,0.004,0.4,0.015,0.027,29
서울,광진구,2014100113,0.004,0.4,0.025,0.017,27
서울,구로구,2014100113,0.004,0.4,0.021,0.019,27
서울,금천구,2014100113,0.005,0.4,0.028,0.017,30
서울,노원구,2014100113,0.005,0.2,0.026,0.014,21
서울,도봉구,2014100113,0.003,0.3,0.023,0.018,23
서울,동대문구,2014100113,0.003,0.3,0.026,0.023,33
서울,동작구,2014100113,-999,-999,-999,-999,31
서울,마포구,2014100113,0.004,0.4,0.02,0.025,27
서울,서대문구,2014100113,0.005,0.6,0.023,0.036,28
서울,서초구,2014100113,0.004,0.3,0.023,0.017,30
서울,성동구,2014100113,-999,0.3,0.022,0.022,30
서울,성북구,2014100113,0.003,0.3,0.018,0.024,27
서울,송파구,2014100113,0.004,0.4,0.034,0.014,30
서울,양천구,2014100113,0.005,0.3,0.022,0.025,26
서울,영등포구,2014100113,0.005,0.4,0.021,0.022,27
서울,용산구,2014100113,0.005,0.3,0.024,0.021,29
서울,은평구,2014100113,0.004,0.6,0.02,0.032,32
서울,종로구,2014100113,-999,-999,-999,-999,-999
서울,중구,2014100113,0.004,0.4,0.018,-999,31
서울,중랑구,2014100113,0.004,0.4,0.025,0.021,27
서울,강남구,2014100114,0.004,0.3,0.028,0.02,29
서울,강동구,2014100114,-999,-999,-999,-999,36
서울,강북구,2014100114,0.005,0.3,0.023,0.021,30
서울,강서구,2014100114,0.007,0.4,0.033,0.019,37
서울,관악구,2014100114,0.004,0.4,0.028,0.021,31
서울,광진구,2014100114,-999,-999,-999,-999,-999
서울,구로구,2014100114,0.004,0.4,0.03,0.017,38
서울,금천구,2014100114,0.005,0.3,0.035,0.017,33
서울,노원구,2014100114,0.005,0.2,0.029,0.018,34
서울,도봉구,2014100114,0.003,0.3,0.028,0.02,30
서울,동대문구,2014100114,0.003,0.4,0.031,0.022,39
서울,동작구,2014100114,0.005,0.3,0.033,0.018,32
서울,마포구,2014100114,0.004,0.4,0.025,0.025,34
서울,서대문구,2014100114,0.005,0.5,0.029,0.035,35
서울,서초구,2014100114,0.004,0.3,0.026,0.019,33
서울,성동구,2014100114,-999,0.3,0.024,0.023,35
서울,성북구,2014100114,0.003,0.3,0.024,0.022,33
서울,송파구,2014100114,0.003,0.5,0.037,0.015,32
서울,양천구,2014100114,0.005,0.3,0.032,0.021,35
서울,영등포구,2014100114,0.005,0.4,0.038,0.022,32
서울,용산구,2014100114,0.005,0.4,0.029,0.023,35
서울,은평구,2014100114,0.004,0.6,0.024,0.032,30
서울,종로구,2014100114,0.004,0.3,0.025,0.025,36
서울,중구,2014100114,0.004,0.3,0.023,-999,39
