0.025,0.019,0.022,0.02,0.019,0.022,0.017,0.018,0.012,0.032,0.016,0.021,0.021,0.017,0.022,0.014,0.021,0.025,0.016,0.02,0.014,0.017,0.009,0.017,0.016,
0.024,0.015,0.017,0.015,0.017,0.018,0.013,0.014,0.011,0.026,0.017,0.019,0.016,0.015,0.019,0.01,0.018,0.022,0.014,0.016,0.011,0.013,0.008,0.014,0.01,
0.018,0.014,0.019,0.02,0.012,0.014,0.013,0.017,0.013,0.031,0.01,0.018,0.014,0.013,0.017,0.008,0.016,0.022,0.011,0.016,0.01,0.017,0.005,0.009,0.007,
0.013,0.008,0.018,0.019,0.012,0.012,0.013,0.012,0.014,0.03,0.015,0.009,0.015,0.013,0.014,0.01,0.02,0.015,0.01,0.015,0.009,0.015,0.011,0.016,0.011,
0.014,0.009,0.015,0.015,0.01,0.012,0.01,0.007,0.012,0.025,0.013,0.007,0.011,0.01,0.012,0.007,0.018,0.013,0.009,0.012,0.008,0.01,0.009,0.011,0.009,
0.008,0.008,0.013,0.006,0.008,0.01,0.009,0.007,0.013,0.026,0.012,0.007,0.005,0.007,0.005,0.004,0.02,0.01,0.005,0.009,0.007,0.009,0.007,0.012,0.012,
0.01,0.015,0.017,0.01,0.013,0.015,0.008,0.008,0.012,0.025,0.014,0.012,0.011,0.008,0.01,0.008,0.02,0.016,0.007,0.015,0.007,0.01,0.009,0.014,0.014,
0.011,0.02,0.019,0.012,0.014,0.019,0.013,0.013,0.011,0.027,0.017,0.015,0.012,0.013,0.014,0.011,0.022,0.018,0.009,0.017,0.005,0.01,0.009,0.017,0.014,
0.019,0.016,0.02,0.016,0.015,0.017,0.012,0.014,0.011,0.027,0.017,0.015,0.012,0.013,0.013,0.014,0.02,0.018,0.01,0.019,0.011,0.013,0.012,0.017,0.012,
0.015,0.016,0.018,0.018,0.014,0.018,0.014,0.011,0.006,0.026,0.016,0.015,0.014,0.012,0.014,0.009,0.019,0.019,0.012,0.019,0.007,0.013,0.011,0.013,0.013,
0.017,0.011,0.013,0.017,0.014,0.015,0.014,0.011,0.004,0.024,0.012,0.011,0.012,0.012,0.008,0.005,0.017,0.016,0.012,0.018,0.009,0.012,0.01,0.016,0.009,
0.011,0.005,0.006,0.014,0.011,0.007,0.011,0.008,0.004,0.023,0.01,0.008,0.008,0.01,0.009,0.002,0.005,0.013,0.011,0.014,0.005,0.007,0.007,0.013,0.005,
0.009,0.002,0.003,0.013,0.011,0.005,0.008,0.005,0.003,0.011,0.008,0.009,0.009,0.007,0.004,0.004,0.004,0.009,0.009,0.015,0.003,0.004,0.006,0.008,0.003,
0.005,0.002,0.005,0.003,0.007,0.006,0.007,0.003,0.002,0.017,0.006,0.006,0.005,0.005,0.004,0.002,0.007,0.005,0.006,0.008,0.002,0.002,0.002,0.004,0.003,
0.003,0.003,0.009,0.003,0.005,0.006,0.005,0.003,0.002,0.015,0.008,0.003,0.004,0.002,0.003,0.002,0.009,0.004,0.003,0.007,0.003,0.002,0.002,0.004,0.003,
0.004,0.003,0.008,0.003,0.004,0.006,0.004,0.003,0.002,0.013,0.012,0.002,0.005,0.004,0.003,0.003,0.012,0.005,0.004,0.003,0.004,0.006,0.005,0.01,0.003,
0.011,0.003,0.013,0.007,0.007,0.009,0.007,0.005,0.007,0.007,0.015,0.007,0.013,0.014,0.005,0.009,0.011,0.005,0.007,0.007,0.011,0.015,0.011,0.015,0.005,
0.01,0.007,0.019,0.009,0.015,0.012,0.013,0.011,0.017,0.012,0.015,0.014,0.016,0.015,0.008,0.01,0.015,0.01,0.01,0.011,0.013,0.018,0.013,0.016,0.011,
0.021,0.013,-999,0.022,0.017,0.013,0.016,0.014,0.019,0.023,0.016,0.019,0.017,0.014,0.011,0.011,0.018,0.016,0.017,0.013,0.014,0.02,0.016,0.016,0.012,
0.018,0.016,-999,0.028,0.023,0.017,0.021,0.018,0.015,0.026,0.017,0.019,0.018,0.014,0.012,0.013,0.02,0.018,0.022,0.021,0.015,0.018,0.014,0.013,0.012,
0.018,0.016,0.029,0.025,0.023,0.017,0.021,0.017,0.013,0.033,0.018,0.022,0.019,0.018,0.012,0.013,0.02,0.019,0.021,0.019,0.016,0.02,0.014,0.016,0.014,
