helloyd yk ek
47.000000 28.637615 18.362385
37.000000 36.262836 0.737164
28.000000 28.941229 -0.941229
35.000000 20.192635 14.807365
27.000000 29.004761 -2.004761
11.000000 21.690365 -10.690365
5.000000 5.508021 -0.508021
2.000000 1.268942 0.731058
0.000000 0.567584 -0.567584
0.000000 0.966625 -0.966625
0.000000 1.871163 -1.871163
18.000000 3.670165 14.329835
25.000000 26.853544 -1.853544
26.000000 22.458017 3.541983
26.000000 22.385632 3.614368
9.000000 21.779469 -12.779469
9.000000 9.294411 -0.294411
11.000000 8.832070 2.167930
11.000000 11.450327 -0.450327
15.000000 10.632661 4.367339
12.000000 14.246284 -2.246284
11.000000 11.935964 -0.935964
13.000000 12.300691 0.699309
24.000000 14.408767 9.591233
43.000000 23.608553 19.391447
49.000000 36.186779 12.813221
39.000000 37.956291 1.043709
41.000000 28.801907 12.198093
28.000000 28.540777 -0.540777
23.000000 20.840961 2.159039
8.000000 13.458813 -5.458813
6.000000 2.579432 3.420568
1.000000 0.686721 0.313279
0.000000 0.647115 -0.647115
1.000000 0.356285 0.643715
8.000000 3.906735 4.093265
20.000000 14.958722 5.041278
16.000000 23.408997 -7.408997
10.000000 16.802851 -6.802851
13.000000 10.356640 2.643360
6.000000 13.659379 -7.659379
7.000000 7.755443 -0.755443
8.000000 8.774539 -0.774539
6.000000 11.311640 -5.311640
6.000000 8.762374 -2.762374
5.000000 9.504832 -4.504832
8.000000 9.507094 -1.507094
14.000000 11.200530 2.799470
14.000000 17.617424 -3.617424
13.000000 16.426043 -3.426043
4.000000 13.803411 -9.803411
2.000000 6.239892 -4.239892
5.000000 4.322809 0.677191
3.000000 8.004416 -5.004416
2.000000 6.939219 -4.939219
0.000000 6.955022 -6.955022
1.000000 5.400180 -4.400180
0.000000 5.075849 -5.075849
0.000000 4.114673 -4.114673
0.000000 4.566227 -4.566227
2.000000 4.280997 -2.280997
5.000000 5.872894 -0.872894
6.000000 7.887304 -1.887304
5.000000 8.824878 -3.824878
6.000000 7.430477 -1.430477
9.000000 8.256886 0.743114
8.000000 10.954728 -2.954728
10.000000 10.406174 -0.406174
8.000000 12.115174 -4.115174
14.000000 10.777168 3.222832
12.000000 15.323209 -3.323209
15.000000 14.225494 0.774506
14.000000 15.846450 -1.846450
18.000000 15.205671 2.794329
18.000000 18.494535 -0.494535
18.000000 18.497517 -0.497517
23.000000 18.094566 4.905434
29.000000 22.474417 6.525583
30.000000 27.406208 2.593792
14.000000 27.964075 -13.964075
5.000000 12.946273 -7.946273
3.000000 4.131405 -1.131405
0.000000 3.399767 -3.399767
2.000000 0.908408 1.091592
4.000000 3.786959 0.213041
5.000000 6.230167 -1.230167
10.000000 13.179650 -3.179650
10.000000 13.596483 -3.596483
19.000000 12.545879 6.454121
18.000000 18.233210 -0.233210
17.000000 17.852448 -0.852448
11.000000 17.170094 -6.170094
13.000000 12.032645 0.967355
12.000000 13.933035 -1.933035
14.000000 13.371078 0.628922
15.000000 14.404227 0.595773
13.000000 15.630695 -2.630695
5.000000 13.738987 -8.738987
6.000000 6.885947 -0.885947
19.000000 7.837378 11.162622
9.000000 20.042589 -11.042589
7.000000 12.060345 -5.060345
0.000000 8.050619 -8.050619
1.000000 3.537340 -2.537340
1.000000 3.460671 -2.460671
0.000000 5.271511 -5.271511
5.000000 5.130524 -0.130524
16.000000 11.880275 4.119725
19.000000 22.358822 -3.358822
17.000000 17.920115 -0.920115
22.000000 15.890942 6.109058
9.000000 20.485523 -11.485523
4.000000 10.275634 -6.275634
6.000000 5.009786 0.990214
11.000000 7.849711 3.150289
8.000000 11.751948 -3.751948
4.000000 12.229279 -8.229279
10.000000 6.153234 3.846766
9.000000 13.234306 -4.234306
22.000000 11.690498 10.309502
29.000000 21.535288 7.464712
27.000000 25.468262 1.531738
26.000000 25.130779 0.869221
19.000000 23.305973 -4.305973
15.000000 18.433319 -3.433319
8.000000 14.355374 -6.355374
4.000000 7.627601 -3.627601
1.000000 3.736790 -2.736790
0.000000 2.476521 -2.476521
0.000000 2.364594 -2.364594
